years_owned,property_value,square_feet,bedrooms,bathrooms,property_age,neighborhood,distance_to_t,school_rating,property_tax,has_liens,lien_amount,mortgage_rate,income_to_mortgage_ratio,market_inventory_months,avg_days_on_market,last_transaction_date,sale_probability
30,763143,2793,3,1.0,41,Mattapan,0.32,8.3,4132,0,0,4.69,3.04,4.7,74,1995-04-16,0.2
10,705899,1379,3,1.5,80,Roxbury,0.01,6.5,6245,1,10506,2.34,1.95,4.9,40,2015-04-11,0.01
4,1039163,493,1,1.0,85,Brighton,0.07,6.6,6304,0,0,4.65,5.12,3.5,40,2021-04-09,0.35
1,1413156,2505,3,1.0,62,West Roxbury,0.48,10.0,6936,0,0,6.83,5.51,3.6,23,2024-04-08,0.16
11,582752,1320,4,4.0,77,South Boston,0.82,7.9,1228,0,0,4.9,0.69,4.8,68,2014-04-11,0.4
6,339059,2353,4,1.5,53,Brighton,0.29,6.0,6018,1,15786,4.75,4.54,1.9,47,2019-04-10,0.15
4,723515,420,2,2.5,41,Dorchester,0.83,7.1,6802,0,0,4.84,4.78,1.7,27,2021-04-09,0.27
17,1523912,2424,2,3.0,66,Roxbury,0.84,7.1,4177,0,0,5.12,3.89,2.8,20,2008-04-12,0.11
1,508897,952,4,2.0,45,South End,0.85,9.5,3904,0,0,2.6,4.21,3.9,34,2024-04-08,0.18
5,1241735,2311,4,1.5,36,Mattapan,0.47,7.1,3597,0,0,4.15,4.12,6.4,21,2020-04-09,0.33
1,1253310,1809,1,2.5,24,Dorchester,1.72,10.0,2935,0,0,4.23,4.54,3.6,31,2024-04-08,0.3
5,583923,1132,3,2.0,96,Roslindale,0.47,5.1,6331,1,3195,3.77,2.19,6.5,38,2020-04-09,0.06
1,920694,1515,2,2.5,65,Roxbury,0.42,7.0,9563,1,13866,5.53,4.94,4.3,24,2024-04-08,0.01
1,1238518,2280,4,2.5,147,Charlestown,0.16,5.9,3887,0,0,3.55,3.75,2.8,12,2024-04-08,0.44
1,636261,1874,1,4.0,68,Back Bay,0.26,6.3,4066,0,0,3.96,3.68,5.2,44,2024-04-08,0.31
8,688925,2209,2,2.0,95,Beacon Hill,0.03,6.3,5030,0,0,2.61,4.18,3.1,24,2017-04-10,0.35
10,575495,3183,4,1.5,57,Charlestown,0.7,5.9,1796,0,0,5.07,1.98,3.9,37,2015-04-11,0.28
7,445572,705,1,2.0,82,Roxbury,0.2,9.6,3608,1,18241,5.91,1.64,1.5,32,2018-04-10,0.25
23,555216,2932,3,1.0,24,Brighton,0.25,9.1,4886,0,0,3.96,3.35,1.2,87,2002-04-14,0.11
4,382817,1873,3,3.0,65,Mattapan,1.03,7.6,3212,0,0,5.71,5.35,4.3,35,2021-04-09,0.3
3,760225,1170,2,1.0,50,Brighton,0.28,6.3,7394,0,0,4.28,2.08,5.2,58,2022-04-09,0.34
15,519008,868,3,1.5,139,Allston,0.19,6.0,2412,0,0,2.0,3.71,6.4,28,2010-04-12,0.04
2,820135,1667,3,3.0,92,South Boston,0.13,8.1,6802,0,0,4.42,2.64,2.3,21,2023-04-09,0.27
24,283231,2445,2,2.0,129,East Boston,1.04,7.5,7937,0,0,4.24,2.48,5.7,45,2001-04-14,0.01
1,849264,1710,3,2.0,156,Dorchester,0.1,6.8,5763,0,0,4.65,4.1,5.5,23,2024-04-08,0.24
25,1000058,2857,4,2.0,62,Charlestown,0.42,7.8,4725,0,0,4.88,4.41,2.8,52,2000-04-14,0.09
1,200000,784,4,3.0,90,East Boston,0.49,8.3,5492,1,7593,3.47,2.55,5.6,18,2024-04-08,0.07
16,862216,1791,2,1.5,42,Dorchester,0.81,6.8,4118,0,0,6.71,5.16,4.9,42,2009-04-12,0.01
6,1118300,923,2,3.0,103,South End,0.7,5.8,1000,0,0,4.4,4.01,5.2,35,2019-04-10,0.27
35,387107,2054,2,1.0,112,Fenway,1.17,5.0,3041,0,0,4.2,3.21,6.8,77,1990-04-17,0.21
1,1251771,2420,3,2.5,100,Fenway,0.03,7.4,4977,0,0,5.62,3.92,5.2,44,2024-04-08,0.42
6,875705,1505,3,3.0,62,East Boston,0.25,10.0,3118,0,0,4.53,5.94,0.5,32,2019-04-10,0.34
25,538496,400,3,1.5,208,North End,0.23,5.3,4173,0,0,8.0,4.4,4.0,55,2000-04-14,0.01
6,733269,1939,1,2.0,85,Jamaica Plain,0.11,8.6,5958,0,0,4.19,2.66,1.1,11,2019-04-10,0.34
7,917498,2105,1,1.5,332,Beacon Hill,0.24,6.0,5290,0,0,5.03,3.48,3.7,48,2018-04-10,0.33
9,772801,2083,3,2.5,43,Roxbury,0.26,6.3,7116,0,0,3.38,3.66,3.6,50,2016-04-10,0.34
5,911626,2665,3,2.0,118,Charlestown,0.52,8.4,5588,1,27956,5.81,4.3,2.6,53,2020-04-09,0.34
7,473797,1050,2,2.0,141,Brighton,0.76,6.6,5705,0,0,4.96,3.79,2.0,51,2018-04-10,0.45
7,800808,2276,3,1.5,43,Dorchester,0.34,7.4,3575,0,0,3.99,5.77,2.7,46,2018-04-10,0.34
17,325885,2634,2,1.5,73,Roxbury,0.89,7.3,2337,1,10319,3.19,3.23,3.0,29,2008-04-12,0.13
1,716632,554,4,1.0,34,Hyde Park,0.29,6.0,4174,0,0,2.54,1.42,3.3,38,2024-04-08,0.24
3,478827,2023,4,1.5,159,Fenway,0.24,8.3,3545,0,0,5.13,3.76,3.7,25,2022-04-09,0.29
22,529341,1447,2,2.0,80,East Boston,0.55,6.9,4666,0,0,2.42,2.97,4.4,22,2003-04-14,0.14
16,1120827,1742,2,3.0,50,Back Bay,0.02,4.9,2867,0,0,6.46,1.7,3.0,29,2009-04-12,0.01
5,1077393,2043,3,2.5,142,East Boston,0.06,5.7,6684,0,0,2.61,2.66,5.4,31,2020-04-09,0.53
7,932741,1458,2,2.0,84,Allston,0.38,2.3,3538,0,0,4.23,3.07,3.4,43,2018-04-10,0.31
3,422306,1327,3,4.0,132,Mattapan,2.0,7.1,4272,0,0,3.18,4.87,4.9,70,2022-04-09,0.48
2,655077,1823,4,2.5,107,North End,0.89,9.0,4959,0,0,4.55,1.72,3.0,57,2023-04-09,0.3
5,1113929,1038,3,3.5,46,Dorchester,0.06,5.4,7246,0,0,4.54,3.92,7.6,41,2020-04-09,0.51
4,792515,1039,4,2.0,61,Charlestown,1.31,7.9,8517,0,0,5.17,6.16,4.2,65,2021-04-09,0.55
7,1445798,2275,3,1.5,51,North End,0.92,7.6,8654,0,0,2.21,3.29,6.0,35,2018-04-10,0.26
1,867995,995,2,1.0,41,North End,0.66,5.9,2436,0,0,3.35,3.25,2.5,47,2024-04-08,0.39
26,807614,2266,3,2.5,28,East Boston,1.2,9.3,4253,0,0,5.96,4.36,2.8,29,1999-04-15,0.01
30,657265,2123,3,1.0,230,Brighton,0.36,6.6,3873,1,1285,5.49,4.13,3.1,35,1995-04-16,0.01
9,790062,591,3,1.5,99,Jamaica Plain,0.18,10.0,5740,0,0,2.0,5.2,7.2,30,2016-04-10,0.25
6,704259,1325,2,2.0,107,Roxbury,0.5,4.5,5618,0,0,5.07,3.3,3.2,15,2019-04-10,0.45
3,962432,2635,1,2.0,151,West Roxbury,0.56,6.6,3833,0,0,2.95,4.34,2.3,15,2022-04-09,0.37
12,1037010,1113,5,2.0,61,Fenway,0.54,6.8,3676,0,0,3.61,4.36,5.5,17,2013-04-11,0.19
9,514203,1474,2,1.5,35,Mattapan,0.58,6.9,3005,1,2650,4.16,3.1,3.6,41,2016-04-10,0.15
2,350630,2123,5,2.0,125,East Boston,2.08,8.1,1000,0,0,6.84,3.36,3.2,71,2023-04-09,0.36
17,200000,2348,5,2.0,39,South End,1.63,10.0,2403,0,0,2.94,3.49,2.6,65,2008-04-12,0.13
13,902397,1623,4,4.0,124,Jamaica Plain,1.46,7.7,6733,0,0,2.39,2.01,4.2,47,2012-04-11,0.23
21,418990,1381,3,2.5,32,Brighton,1.13,7.0,7929,1,10667,5.18,3.03,5.1,26,2004-04-13,0.01
10,200000,2795,3,3.5,37,Hyde Park,2.01,5.4,7695,1,13355,4.46,5.3,4.7,22,2015-04-11,0.08
7,866573,3017,4,2.5,57,Allston,0.07,4.2,6818,0,0,6.31,4.75,2.8,37,2018-04-10,0.34
4,1497899,2485,2,2.0,121,Fenway,0.22,8.8,2976,1,8847,3.97,2.8,2.0,26,2021-04-09,0.25
19,748178,1859,3,1.5,193,West Roxbury,0.48,6.2,2637,0,0,6.32,3.48,0.5,16,2006-04-13,0.01
15,1001547,1234,3,2.5,107,Charlestown,1.31,10.0,1377,0,0,4.52,4.67,2.1,20,2010-04-12,0.04
1,774548,1218,3,2.0,58,Dorchester,0.49,8.3,3833,0,0,5.29,4.03,2.9,29,2024-04-08,0.37
1,720333,2165,3,2.0,138,South End,0.96,7.5,5174,1,10207,6.94,4.46,3.4,70,2024-04-08,0.03
4,1025722,2092,2,2.0,31,Jamaica Plain,0.1,7.6,2984,0,0,4.25,4.14,3.1,14,2021-04-09,0.27
12,662917,2781,3,2.0,47,South Boston,0.2,7.6,5862,0,0,6.07,3.76,7.7,18,2013-04-11,0.04
31,830217,2255,4,1.5,88,Roslindale,0.92,6.0,6303,0,0,3.58,3.3,4.2,30,1994-04-16,0.24
2,846509,747,2,2.0,128,South Boston,0.13,4.4,4051,0,0,4.84,2.07,1.6,23,2023-04-09,0.42
7,549572,2536,4,1.5,75,Mattapan,0.3,6.2,2319,1,9047,2.33,4.33,4.5,44,2018-04-10,0.31
4,1047612,1101,3,3.0,70,East Boston,0.22,7.0,7761,0,0,3.74,3.23,4.1,30,2021-04-09,0.36
25,697512,1531,4,1.5,73,Charlestown,0.3,6.0,5070,1,4989,2.91,1.52,1.9,16,2000-04-14,0.01
13,523276,1975,3,1.0,150,Mattapan,0.86,5.1,8882,1,9067,6.33,2.85,3.9,26,2012-04-11,0.01
13,910952,3196,4,2.0,53,Back Bay,0.32,5.9,5184,0,0,7.11,4.52,4.3,38,2012-04-11,0.13
5,480459,3976,1,2.5,45,Mattapan,0.57,8.6,5324,0,0,3.97,1.2,5.0,50,2020-04-09,0.11
4,758454,2224,4,2.0,72,Hyde Park,0.07,8.1,3071,0,0,3.34,2.26,0.8,18,2021-04-09,0.34
3,747264,1671,1,1.5,161,Allston,1.14,7.3,4152,0,0,2.53,3.66,4.5,40,2022-04-09,0.43
1,1075768,2174,4,2.0,56,East Boston,0.32,7.9,1882,0,0,4.9,5.19,5.6,29,2024-04-08,0.41
15,892409,2421,5,1.5,72,Jamaica Plain,0.73,5.3,2312,0,0,3.6,4.7,6.3,65,2010-04-12,0.01
12,742491,1575,2,3.5,31,Brighton,0.9,5.8,6482,0,0,3.68,5.3,1.7,26,2013-04-11,0.25
58,995329,3056,2,3.5,74,Beacon Hill,0.16,7.5,4434,1,1971,6.94,3.75,3.3,17,1967-04-23,0.17
40,1167062,1961,4,2.0,96,East Boston,1.51,5.5,4154,0,0,4.06,3.25,3.4,24,1985-04-18,0.26
6,917343,2148,2,1.5,39,West Roxbury,0.67,7.2,3519,0,0,5.38,4.51,4.5,13,2019-04-10,0.18
11,753105,2266,4,2.5,150,Mattapan,0.39,5.1,4228,1,6504,4.58,2.42,3.3,14,2014-04-11,0.06
21,356449,2095,2,1.0,95,South Boston,0.14,4.5,7266,0,0,2.47,2.33,2.4,44,2004-04-13,0.07
14,430465,2387,2,2.0,62,Roxbury,2.0,8.1,5288,0,0,2.0,2.11,3.8,41,2011-04-12,0.01
2,658432,1367,5,1.5,96,Dorchester,0.98,8.5,2639,0,0,5.23,4.81,3.0,46,2023-04-09,0.28
5,567146,1409,3,3.5,110,Roslindale,0.16,6.1,7060,0,0,7.06,2.5,4.3,25,2020-04-09,0.25
1,693908,1029,4,1.0,26,East Boston,0.29,4.7,8450,0,0,4.97,4.7,2.3,20,2024-04-08,0.01
22,766994,2107,2,2.0,98,Allston,1.16,3.7,5989,0,0,5.44,3.68,2.0,106,2003-04-14,0.11
7,908907,2345,3,2.5,158,South Boston,0.83,9.8,6782,0,0,3.14,4.82,5.5,37,2018-04-10,0.38
2,728850,2120,3,2.0,52,Roxbury,1.02,7.2,7441,0,0,6.02,2.17,6.9,19,2023-04-09,0.42
8,895950,2972,3,1.0,63,Allston,0.41,6.1,1686,0,0,6.0,2.75,6.2,75,2017-04-10,0.45
7,769342,1796,3,4.0,69,Mattapan,0.88,6.5,8728,0,0,3.46,4.04,3.4,69,2018-04-10,0.35
4,200000,2268,3,2.0,129,Mattapan,0.34,4.1,7197,0,0,5.32,2.98,5.1,48,2021-04-09,0.34
1,468199,1035,3,2.0,43,Allston,0.17,7.9,5977,0,0,2.0,0.51,2.5,31,2024-04-08,0.29
8,706773,1529,2,1.5,107,Fenway,0.7,10.0,4749,0,0,5.59,1.85,4.3,22,2017-04-10,0.45
6,387091,2286,4,2.0,69,South End,2.61,5.8,2325,0,0,3.64,2.16,2.6,27,2019-04-10,0.44
11,929978,2394,2,2.0,198,Beacon Hill,0.26,10.0,4337,0,0,2.66,2.25,5.4,64,2014-04-11,0.34
6,1209225,1594,3,1.0,72,Allston,0.43,6.8,5896,0,0,5.1,4.32,5.2,23,2019-04-10,0.36
14,1115628,1749,2,1.0,18,Roxbury,0.78,9.5,2791,0,0,2.0,3.9,6.6,18,2011-04-12,0.02
6,685967,737,3,3.0,118,Roslindale,0.55,7.5,4860,0,0,5.01,3.69,3.2,48,2019-04-10,0.4
6,1197217,1550,3,1.5,104,West Roxbury,1.3,7.5,2632,0,0,2.8,5.91,5.9,34,2019-04-10,0.43
15,794600,2423,2,1.5,93,Brighton,1.0,9.8,4230,0,0,2.48,4.91,4.3,24,2010-04-12,0.01
4,648874,2202,1,2.0,156,Back Bay,0.04,8.2,2294,0,0,4.59,4.46,3.6,25,2021-04-09,0.25
2,565979,2150,2,2.5,28,Hyde Park,4.52,7.6,2084,0,0,4.24,1.71,4.0,12,2023-04-09,0.33
1,659259,1834,3,1.0,48,North End,0.98,4.1,5680,0,0,6.69,3.57,6.0,26,2024-04-08,0.2
10,633546,1804,4,2.0,82,Beacon Hill,1.4,4.7,3840,0,0,2.57,3.86,3.3,60,2015-04-11,0.29
7,801124,1337,1,1.0,90,Dorchester,0.74,7.7,4028,1,12706,6.56,3.0,3.4,21,2018-04-10,0.16
9,798172,2289,3,1.0,76,South Boston,1.36,9.2,3733,0,0,2.79,5.55,0.5,117,2016-04-10,0.51
2,750913,2094,2,1.0,31,North End,0.08,7.2,10446,0,0,5.88,3.56,3.3,34,2023-04-09,0.41
2,881081,2144,3,3.0,63,Brighton,0.3,6.1,6214,0,0,6.16,2.03,3.9,16,2023-04-09,0.14
1,1107193,1431,4,1.0,190,Jamaica Plain,1.46,4.2,6429,0,0,4.98,2.3,2.4,39,2024-04-08,0.18
4,1034866,400,2,1.0,42,Charlestown,0.16,5.8,3449,0,0,3.31,6.24,2.0,21,2021-04-09,0.49
7,304530,2568,3,2.0,81,Charlestown,0.06,7.2,6009,0,0,2.22,3.0,0.7,49,2018-04-10,0.45
4,200000,1464,1,3.0,108,East Boston,1.09,5.7,4544,0,0,2.0,1.01,2.6,66,2021-04-09,0.37
5,1030295,1196,1,1.5,126,Roslindale,1.26,5.6,3433,1,3987,7.28,2.78,5.6,54,2020-04-09,0.07
17,339936,2285,2,2.0,118,East Boston,0.12,6.9,8858,1,6977,4.05,1.31,1.3,53,2008-04-12,0.01
3,682570,1525,1,1.0,60,Charlestown,1.35,9.2,6145,0,0,2.84,4.6,4.7,27,2022-04-09,0.27
6,398966,2541,3,2.0,48,East Boston,0.81,8.0,6044,1,9546,2.79,1.15,4.8,21,2019-04-10,0.2
11,209405,2231,3,2.0,199,West Roxbury,0.51,7.4,3056,0,0,4.75,1.82,7.2,45,2014-04-11,0.4
4,912438,2278,3,2.0,133,Brighton,1.24,7.3,2459,0,0,3.91,3.5,5.1,22,2021-04-09,0.31
7,977746,843,2,1.5,86,Charlestown,0.38,7.8,4884,0,0,2.0,4.83,4.9,27,2018-04-10,0.29
14,577046,2648,2,1.5,171,Allston,0.15,6.8,3852,0,0,5.8,3.42,4.1,22,2011-04-12,0.11
21,200000,1982,3,1.0,31,South End,0.23,6.4,6225,0,0,5.0,1.99,3.5,23,2004-04-13,0.08
2,586126,1541,5,2.0,35,Roxbury,0.49,8.1,6358,0,0,7.26,3.72,4.8,47,2023-04-09,0.13
19,867541,1900,1,1.0,18,Mattapan,0.53,6.7,5131,0,0,6.21,2.94,5.4,23,2006-04-13,0.15
5,306326,556,4,2.5,90,South End,1.15,5.2,6655,0,0,2.0,4.86,3.8,48,2020-04-09,0.36
3,805007,2086,3,4.0,92,Allston,1.1,9.2,5386,0,0,6.63,4.53,5.4,66,2022-04-09,0.25
5,745407,1079,3,4.0,33,Jamaica Plain,0.61,4.2,3256,0,0,6.31,2.86,7.8,25,2020-04-09,0.23
28,923787,853,3,3.0,131,Mattapan,1.06,9.3,4603,0,0,3.4,4.44,3.6,19,1997-04-15,0.23
5,785874,734,1,2.0,23,Fenway,0.15,7.8,5271,1,26872,3.85,3.83,3.6,58,2020-04-09,0.17
3,458079,2578,1,2.5,101,Dorchester,0.04,5.5,6857,0,0,5.12,5.14,3.4,40,2022-04-09,0.34
8,1108971,1359,3,1.5,114,Charlestown,1.45,7.0,5449,0,0,2.98,4.38,3.7,22,2017-04-10,0.28
2,702441,2873,2,2.0,89,West Roxbury,0.05,6.4,3857,1,17177,4.14,4.16,5.3,28,2023-04-09,0.07
1,741808,1424,4,2.0,30,Brighton,0.2,8.2,6932,0,0,6.0,5.09,3.6,42,2024-04-08,0.18
1,470019,604,3,2.0,155,Allston,0.83,8.2,5761,0,0,5.28,3.52,3.8,15,2024-04-08,0.23
1,617015,1018,2,2.5,61,Brighton,0.37,7.7,8091,0,0,3.5,2.57,3.1,82,2024-04-08,0.15
2,484559,2665,3,1.5,61,Fenway,1.46,8.1,5174,0,0,6.03,3.74,4.2,56,2023-04-09,0.13
2,698116,1690,2,1.5,55,East Boston,0.25,6.8,2925,0,0,4.95,3.07,2.7,34,2023-04-09,0.58
8,1263512,1416,3,3.5,120,Allston,0.01,9.6,7353,0,0,4.9,4.23,1.7,80,2017-04-10,0.24
2,338429,1912,3,1.0,60,Back Bay,0.25,8.8,3846,0,0,3.73,3.57,4.2,72,2023-04-09,0.32
3,265931,2151,4,2.0,40,South End,0.6,6.3,5590,0,0,4.49,3.98,6.5,31,2022-04-09,0.15
16,1191351,2582,4,3.5,139,East Boston,0.33,8.2,5371,1,1893,3.34,2.06,3.1,29,2009-04-12,0.01
5,687202,2813,3,2.0,80,Hyde Park,0.54,8.1,5091,0,0,2.0,4.11,1.9,30,2020-04-09,0.42
8,549278,1548,3,2.0,142,North End,1.46,6.6,4660,1,31227,4.08,1.96,6.4,46,2017-04-10,0.17
2,1061971,871,4,1.5,84,Jamaica Plain,1.71,6.5,1695,1,21507,4.32,4.65,3.6,44,2023-04-09,0.22
2,568315,1510,2,1.5,52,South Boston,0.22,8.8,2995,0,0,4.71,4.66,4.9,13,2023-04-09,0.34
1,1297802,1982,1,3.0,25,Mattapan,0.43,7.0,7244,0,0,6.32,3.92,2.4,42,2024-04-08,0.24
2,953377,1125,2,2.0,90,Roxbury,0.56,7.4,5857,0,0,3.52,3.87,3.5,42,2023-04-09,0.18
3,603626,1129,2,2.0,69,North End,2.08,9.1,8818,1,10014,3.95,3.23,5.6,30,2022-04-09,0.27
2,1397192,2040,3,1.0,123,Fenway,4.61,10.0,2924,0,0,5.65,2.78,3.7,35,2023-04-09,0.38
1,568285,1765,3,1.0,58,West Roxbury,0.19,6.2,4938,0,0,3.37,3.48,3.7,14,2024-04-08,0.12
1,972628,1822,3,4.0,102,Hyde Park,0.91,6.7,7326,0,0,4.73,5.88,1.3,18,2024-04-08,0.26
5,839787,1269,1,2.0,82,Allston,0.33,7.1,3868,0,0,3.89,3.78,4.7,22,2020-04-09,0.42
2,1140522,1638,3,2.0,50,South End,0.01,7.1,4029,1,15241,4.13,1.89,2.3,47,2023-04-09,0.06
4,1218453,1153,2,1.0,61,Jamaica Plain,0.01,7.6,4413,0,0,5.64,1.45,5.2,68,2021-04-09,0.43
5,759601,2423,3,2.5,35,Fenway,0.43,6.3,4109,1,4506,3.94,1.77,3.8,45,2020-04-09,0.26
9,523974,2524,3,3.5,206,Charlestown,0.47,5.1,6063,0,0,5.69,3.05,3.9,37,2016-04-10,0.29
1,887991,507,2,2.0,101,Mattapan,0.02,9.6,1439,0,0,2.0,5.02,4.7,51,2024-04-08,0.22
12,546685,1149,2,1.0,33,Back Bay,0.81,7.9,8285,1,8304,2.36,2.27,4.1,11,2013-04-11,0.12
7,1354016,752,1,2.0,200,Charlestown,0.24,6.4,3080,0,0,2.0,5.21,6.1,64,2018-04-10,0.49
1,790960,1344,4,2.5,42,South Boston,0.57,7.7,1000,1,4271,2.75,3.72,5.8,32,2024-04-08,0.06
15,640403,1741,4,2.0,57,Jamaica Plain,0.25,9.7,4979,0,0,7.29,4.08,1.7,60,2010-04-12,0.01
18,805404,785,3,3.0,72,Jamaica Plain,0.13,5.8,4245,0,0,4.47,4.05,3.2,49,2007-04-13,0.07
1,345862,1154,2,2.0,83,West Roxbury,0.37,7.3,4644,0,0,3.42,4.21,4.8,22,2024-04-08,0.32
3,458515,1097,3,3.0,121,Charlestown,0.19,4.9,5625,1,13258,5.67,3.01,2.1,39,2022-04-09,0.01
12,1110124,1945,3,2.0,22,North End,0.54,6.8,6289,1,37602,5.89,0.7,1.1,23,2013-04-11,0.01
10,552931,1848,4,1.0,83,South End,0.16,7.9,8373,0,0,2.67,2.79,2.4,44,2015-04-11,0.24
2,435926,1294,2,1.5,70,Hyde Park,0.5,5.3,3619,0,0,8.0,2.43,3.3,88,2023-04-09,0.26
2,910995,1923,1,1.5,91,Hyde Park,0.12,6.7,6548,0,0,4.91,3.87,0.5,44,2023-04-09,0.21
4,1105711,1417,3,3.5,68,Charlestown,0.78,8.2,6417,0,0,5.1,3.76,1.8,22,2021-04-09,0.37
5,965685,1609,3,2.5,62,Roxbury,0.98,7.9,1000,0,0,5.25,3.17,0.8,56,2020-04-09,0.55
7,1048814,2971,2,2.5,76,Dorchester,0.08,5.3,3333,0,0,5.24,5.61,5.2,21,2018-04-10,0.36
4,522961,2738,1,1.5,194,East Boston,0.44,7.6,2426,1,6225,3.57,2.73,4.9,66,2021-04-09,0.26
5,323456,890,3,1.5,63,West Roxbury,0.05,7.8,5895,0,0,7.67,0.83,3.9,19,2020-04-09,0.28
10,1200400,2380,4,2.5,151,Back Bay,0.64,7.2,5675,0,0,4.07,3.64,3.7,61,2015-04-11,0.36
1,653196,2367,5,2.0,89,West Roxbury,0.21,8.6,5715,0,0,5.94,4.93,4.3,26,2024-04-08,0.24
3,674750,996,3,1.5,86,West Roxbury,0.52,6.1,4388,0,0,3.79,3.84,2.0,47,2022-04-09,0.39
9,1148458,2373,3,2.0,91,Jamaica Plain,0.51,7.6,4590,1,7629,3.52,3.07,5.4,56,2016-04-10,0.13
16,916869,2876,1,1.0,107,Mattapan,1.81,5.3,4942,0,0,7.35,3.79,3.6,39,2009-04-12,0.12
6,886766,1014,3,1.5,66,West Roxbury,0.56,4.6,4197,1,8525,4.34,5.71,4.9,27,2019-04-10,0.01
6,1399500,1157,3,2.0,146,Back Bay,0.61,8.2,6554,1,6506,4.45,2.45,4.8,40,2019-04-10,0.03
1,556944,2512,3,1.0,108,Mattapan,0.36,7.0,2860,0,0,4.93,3.54,4.3,32,2024-04-08,0.29
5,1028352,1990,3,4.0,37,Brighton,2.08,6.3,3436,0,0,8.0,4.3,4.0,35,2020-04-09,0.2
6,767103,2186,2,1.5,18,Hyde Park,1.05,5.4,5242,0,0,7.75,3.8,3.9,15,2019-04-10,0.35
2,830577,2038,1,1.0,191,Roslindale,0.24,8.2,4264,0,0,6.43,3.2,3.4,50,2023-04-09,0.29
3,1208540,2073,2,1.5,93,Charlestown,1.3,4.7,2782,0,0,8.0,2.99,4.2,38,2022-04-09,0.25
4,902350,871,1,2.5,34,Roxbury,0.4,8.5,6063,0,0,3.08,3.16,3.8,14,2021-04-09,0.29
1,911488,2533,2,2.0,63,Hyde Park,1.23,7.7,3855,0,0,5.48,4.14,2.8,28,2024-04-08,0.3
3,1071752,2618,5,2.0,133,North End,1.21,4.8,3310,0,0,4.61,4.07,4.4,12,2022-04-09,0.45
2,640514,1639,3,1.0,74,Back Bay,0.15,7.2,4651,0,0,2.0,6.01,3.9,35,2023-04-09,0.2
3,498237,1769,3,1.0,78,Mattapan,0.85,10.0,3213,0,0,5.19,1.66,5.3,46,2022-04-09,0.26
1,436557,728,4,2.0,120,Jamaica Plain,0.24,8.8,4931,0,0,3.76,5.61,0.8,24,2024-04-08,0.19
16,200000,2159,5,3.0,98,Charlestown,0.25,5.8,4280,0,0,6.8,3.25,3.6,23,2009-04-12,0.01
7,1366862,2200,3,3.0,112,Jamaica Plain,0.25,8.1,3974,0,0,3.91,3.39,2.4,27,2018-04-10,0.44
8,419037,1756,4,1.0,119,Roslindale,0.91,4.9,3987,0,0,3.82,4.53,2.7,23,2017-04-10,0.49
11,683623,2587,2,2.0,53,West Roxbury,0.18,4.9,6991,0,0,6.8,4.52,4.3,21,2014-04-11,0.34
5,666956,1566,2,3.5,56,Brighton,0.0,6.9,5738,0,0,4.4,4.89,1.3,13,2020-04-09,0.32
1,842222,2195,3,2.0,49,Hyde Park,0.88,7.8,1581,0,0,6.24,5.15,3.7,22,2024-04-08,0.13
6,994721,1086,3,3.0,58,Mattapan,0.13,8.2,6765,0,0,5.14,3.45,3.5,15,2019-04-10,0.39
7,1008142,1783,3,1.0,76,Allston,0.08,8.2,6033,0,0,5.16,5.17,1.9,64,2018-04-10,0.48
10,575076,1677,2,3.5,79,Back Bay,0.19,7.7,5915,1,12724,4.13,2.75,3.7,71,2015-04-11,0.08
4,699863,1957,2,2.5,168,East Boston,0.33,4.6,6775,0,0,5.25,3.13,2.4,44,2021-04-09,0.4
1,834773,1541,3,3.5,95,Mattapan,0.45,6.9,5030,0,0,4.3,3.28,6.8,62,2024-04-08,0.35
3,675392,1707,2,2.5,77,East Boston,0.03,8.5,6240,0,0,3.29,2.87,5.3,21,2022-04-09,0.24
4,1232203,2378,3,2.0,43,Charlestown,2.47,7.7,4071,0,0,4.34,3.57,3.6,46,2021-04-09,0.35
8,897292,1494,3,3.5,68,Jamaica Plain,0.88,7.3,6695,0,0,6.43,4.58,2.9,45,2017-04-10,0.53
6,970463,675,3,1.5,199,Back Bay,0.27,7.5,5436,1,18092,5.3,4.28,4.3,40,2019-04-10,0.17
4,948864,3024,4,1.5,197,Brighton,0.27,7.5,2246,0,0,5.65,2.76,4.7,27,2021-04-09,0.24
31,1102042,2767,4,2.5,68,Hyde Park,0.42,4.1,7072,1,5370,4.5,2.67,3.9,34,1994-04-16,0.01
7,804306,895,3,2.5,27,Charlestown,0.69,8.7,4742,0,0,2.0,2.47,2.0,39,2018-04-10,0.3
2,360950,2282,3,3.5,63,Charlestown,0.11,6.8,4463,1,8444,2.67,3.61,3.2,39,2023-04-09,0.14
1,869906,1447,3,1.5,169,Roxbury,0.15,8.1,4114,0,0,4.07,1.6,3.6,20,2024-04-08,0.14
2,554592,1984,2,2.5,76,Hyde Park,1.37,3.5,4261,0,0,2.8,2.43,3.9,69,2023-04-09,0.3
2,591414,2005,1,2.5,120,South End,0.21,9.5,5459,0,0,3.71,2.95,4.0,35,2023-04-09,0.2
2,925909,1635,2,1.0,81,Charlestown,0.33,5.3,3024,0,0,3.66,4.77,4.6,52,2023-04-09,0.09
2,1121484,1251,3,2.0,32,East Boston,1.44,10.0,1862,0,0,3.7,3.34,5.5,25,2023-04-09,0.33
